"Anos";"AC";"AM";"AP";"MA";"MT";"PA";"RO";"RR";"TO"
1978;;;;;1478
1980;;;;539250
1985;;;286
1989;;;;;3901;;1106139
1990;;3221001;;;;;2150750
1991;;;;45333
1992;;;;;109498
1993;;;;;;1425
1994;;;;;14727;;68978
1995;;233915;;;;;726885
1996;;;;;167731;24522;385317
1997;47140;;870696;;290835
1998;;2377935;;;103978;;;;89720
1999;;;;;8305
2000;;;;;118;;;;32742
2001;;;;;638547;3675;;;171309
2002;;;;;436787;90557
2003;;3879514;;;9216
2004;1146767;424302;;;108406
2005;;3269968;;122
2006;;866765;2370666;;291;13011536
2007;;409965;;;98416
2008;;104148
2009;26135;2328580
2010;;;;;;71654;8867
2014;;77426;;79710
2016;;;;;;33679
2017;155896
2018;;;;;;242;399532
2020;;;;;44
2021;;;;;;30069
2022;;;;;;;;2647321
